Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.071724 , -0.474466 , 2.053887 , 0.000000
1 , 0.02 , 0.087380 , -0.486678 , 2.502218 , 0.000000
1 , 0.02 , 0.111360 , -0.505383 , 3.188921 , 0.000000
1 , 0.02 , 0.152845 , -0.537743 , 4.376893 , 0.000000
1 , 0.02 , 0.185767 , -0.465695 , 5.319669 , 0.000000
1 , 0.02 , 0.185970 , -0.279268 , 5.325496 , 0.000000
1 , 0.02 , 0.186174 , -0.093115 , 5.331315 , 0.000000
1 , 0.02 , 0.186377 , 0.093217 , 5.337139 , 0.000000
1 , 0.02 , 0.186581 , 0.280185 , 5.342983 , 0.000000
1 , 0.02 , 0.186786 , 0.468250 , 5.348862 , 0.000000
1 , 0.02 , 0.186993 , 0.657886 , 5.354789 , 0.000000
1 , 0.02 , 0.187203 , 0.849582 , 5.360781 , 0.000000
1 , 0.02 , 0.187415 , 1.043847 , 5.366854 , 0.000000
1 , 0.02 , 0.187630 , 1.241216 , 5.373023 , 0.000000
1 , 0.02 , 0.187850 , 1.442260 , 5.379307 , 0.000000
1 , 0.02 , 0.066743 , -0.465872 , 1.737377 , 0.000000
1 , 0.02 , 0.078897 , -0.474495 , 2.053748 , 0.000000
1 , 0.02 , 0.096120 , -0.486714 , 2.502081 , 0.000000
1 , 0.02 , 0.122502 , -0.505431 , 3.188811 , 0.000000
1 , 0.02 , 0.168143 , -0.537812 , 4.376894 , 0.000000
1 , 0.02 , 0.204323 , -0.465667 , 5.318676 , 0.000000
1 , 0.02 , 0.204547 , -0.279251 , 5.324502 , 0.000000
1 , 0.02 , 0.204770 , -0.093110 , 5.330319 , 0.000000
1 , 0.02 , 0.204994 , 0.093211 , 5.336142 , 0.000000
1 , 0.02 , 0.205218 , 0.280168 , 5.341985 , 0.000000
1 , 0.02 , 0.205444 , 0.468222 , 5.347862 , 0.000000
1 , 0.02 , 0.205672 , 0.657847 , 5.353788 , 0.000000
1 , 0.02 , 0.205902 , 0.849532 , 5.359778 , 0.000000
1 , 0.02 , 0.206135 , 1.043785 , 5.365849 , 0.000000
1 , 0.02 , 0.206372 , 1.241142 , 5.372017 , 0.000000
1 , 0.02 , 0.206613 , 1.442174 , 5.378300 , 0.000000
1 , 0.02 , 0.072811 , -0.465895 , 1.737220 , 0.000000
1 , 0.02 , 0.086071 , -0.474523 , 2.053580 , 0.000000
1 , 0.02 , 0.104861 , -0.486749 , 2.501909 , 0.000000
1 , 0.02 , 0.133644 , -0.505477 , 3.188655 , 0.000000
1 , 0.02 , 0.183444 , -0.537879 , 4.376827 , 0.000000
1 , 0.02 , 0.222877 , -0.465646 , 5.317683 , 0.000000
1 , 0.02 , 0.223121 , -0.279238 , 5.323507 , 0.000000
1 , 0.02 , 0.223365 , -0.093105 , 5.329323 , 0.000000
1 , 0.02 , 0.223609 , 0.093207 , 5.335145 , 0.000000
1 , 0.02 , 0.223854 , 0.280155 , 5.340986 , 0.000000
1 , 0.02 , 0.224100 , 0.468201 , 5.346862 , 0.000000
1 , 0.02 , 0.224348 , 0.657817 , 5.352787 , 0.000000
1 , 0.02 , 0.224599 , 0.849492 , 5.358776 , 0.000000
1 , 0.02 , 0.224854 , 1.043736 , 5.364845 , 0.000000
1 , 0.02 , 0.225112 , 1.241084 , 5.371012 , 0.000000
1 , 0.02 , 0.225375 , 1.442106 , 5.377293 , 0.000000
1 , 0.02 , 0.078878 , -0.465918 , 1.737038 , 0.000000
1 , 0.02 , 0.093244 , -0.474550 , 2.053384 , 0.000000
1 , 0.02 , 0.113602 , -0.486783 , 2.501701 , 0.000000
1 , 0.02 , 0.144787 , -0.505521 , 3.188450 , 0.000000
1 , 0.02 , 0.198745 , -0.537944 , 4.376692 , 0.000000
1 , 0.02 , 0.241430 , -0.465630 , 5.316690 , 0.000000
1 , 0.02 , 0.241694 , -0.279229 , 5.322513 , 0.000000
1 , 0.02 , 0.241958 , -0.093102 , 5.328328 , 0.000000
1 , 0.02 , 0.242222 , 0.093204 , 5.334148 , 0.000000
1 , 0.02 , 0.242487 , 0.280145 , 5.339988 , 0.000000
1 , 0.02 , 0.242754 , 0.468184 , 5.345862 , 0.000000
1 , 0.02 , 0.243023 , 0.657794 , 5.351786 , 0.000000
1 , 0.02 , 0.243295 , 0.849463 , 5.357774 , 0.000000
1 , 0.02 , 0.243571 , 1.043700 , 5.363842 , 0.000000
1 , 0.02 , 0.243851 , 1.241041 , 5.370007 , 0.000000
1 , 0.02 , 0.244136 , 1.442056 , 5.376287 , 0.000000
1 , 0.02 , 0.084945 , -0.465940 , 1.736834 , 0.000000
1 , 0.02 , 0.100416 , -0.474576 , 2.053160 , 0.000000
1 , 0.02 , 0.122342 , -0.486815 , 2.501458 , 0.000000
1 , 0.02 , 0.155929 , -0.505565 , 3.188199 , 0.000000
1 , 0.02 , 0.214046 , -0.538007 , 4.376488 , 0.000000
1 , 0.02 , 0.259981 , -0.465619 , 5.315697 , 0.000000
1 , 0.02 , 0.260266 , -0.279223 , 5.321519 , 0.000000
1 , 0.02 , 0.260550 , -0.093100 , 5.327332 , 0.000000
1 , 0.02 , 0.260835 , 0.093202 , 5.333151 , 0.000000
1 , 0.02 , 0.261120 , 0.280139 , 5.338990 , 0.000000
1 , 0.02 , 0.261407 , 0.468174 , 5.344863 , 0.000000
1 , 0.02 , 0.261697 , 0.657779 , 5.350785 , 0.000000
1 , 0.02 , 0.261990 , 0.849444 , 5.356772 , 0.000000
1 , 0.02 , 0.262287 , 1.043676 , 5.362839 , 0.000000
1 , 0.02 , 0.262588 , 1.241013 , 5.369002 , 0.000000
1 , 0.02 , 0.262895 , 1.442024 , 5.375281 , 0.000000
1 , 0.02 , 0.091012 , -0.465961 , 1.736606 , 0.000000
1 , 0.02 , 0.107588 , -0.474601 , 2.052907 , 0.000000
1 , 0.02 , 0.131081 , -0.486847 , 2.501179 , 0.000000
1 , 0.02 , 0.167071 , -0.505607 , 3.187901 , 0.000000
1 , 0.02 , 0.229348 , -0.538069 , 4.376215 , 0.000000
1 , 0.02 , 0.278532 , -0.465615 , 5.314703 , 0.000000
1 , 0.02 , 0.278837 , -0.279220 , 5.320524 , 0.000000
1 , 0.02 , 0.279142 , -0.093099 , 5.326336 , 0.000000
1 , 0.02 , 0.279446 , 0.093201 , 5.332154 , 0.000000
1 , 0.02 , 0.279752 , 0.280136 , 5.337992 , 0.000000
1 , 0.02 , 0.280060 , 0.468169 , 5.343864 , 0.000000
1 , 0.02 , 0.280370 , 0.657772 , 5.349785 , 0.000000
1 , 0.02 , 0.280684 , 0.849435 , 5.355771 , 0.000000
1 , 0.02 , 0.281002 , 1.043666 , 5.361836 , 0.000000
1 , 0.02 , 0.281325 , 1.241001 , 5.367999 , 0.000000
1 , 0.02 , 0.281654 , 1.442009 , 5.374276 , 0.000000
1 , 0.02 , 0.097077 , -0.465981 , 1.736354 , 0.000000
1 , 0.02 , 0.114760 , -0.474626 , 2.052626 , 0.000000
1 , 0.02 , 0.139820 , -0.486878 , 2.500865 , 0.000000
1 , 0.02 , 0.178212 , -0.505648 , 3.187557 , 0.000000
1 , 0.02 , 0.244649 , -0.538129 , 4.375874 , 0.000000
1 , 0.02 , 0.297083 , -0.465616 , 5.313710 , 0.000000
1 , 0.02 , 0.297408 , -0.279220 , 5.319530 , 0.000000
1 , 0.02 , 0.297733 , -0.093099 , 5.325341 , 0.000000
1 , 0.02 , 0.298058 , 0.093201 , 5.331158 , 0.000000
1 , 0.02 , 0.298384 , 0.280137 , 5.336995 , 0.000000
1 , 0.02 , 0.298713 , 0.468170 , 5.342865 , 0.000000
1 , 0.02 , 0.299044 , 0.657774 , 5.348785 , 0.000000
1 , 0.02 , 0.299378 , 0.849437 , 5.354770 , 0.000000
1 , 0.02 , 0.299717 , 1.043668 , 5.360834 , 0.000000
1 , 0.02 , 0.300062 , 1.241004 , 5.366995 , 0.000000
1 , 0.02 , 0.300413 , 1.442013 , 5.373271 , 0.000000
1 , 0.02 , 0.103142 , -0.466001 , 1.736078 , 0.000000
1 , 0.02 , 0.121930 , -0.474650 , 2.052316 , 0.000000
1 , 0.02 , 0.148558 , -0.486908 , 2.500515 , 0.000000
1 , 0.02 , 0.189353 , -0.505687 , 3.187165 , 0.000000
1 , 0.02 , 0.259951 , -0.538187 , 4.375463 , 0.000000
1 , 0.02 , 0.315634 , -0.465622 , 5.312716 , 0.000000
1 , 0.02 , 0.315979 , -0.279224 , 5.318535 , 0.000000
1 , 0.02 , 0.316324 , -0.093101 , 5.324345 , 0.000000
1 , 0.02 , 0.316670 , 0.093202 , 5.330161 , 0.000000
1 , 0.02 , 0.317017 , 0.280141 , 5.335997 , 0.000000
1 , 0.02 , 0.317365 , 0.468177 , 5.341866 , 0.000000
1 , 0.02 , 0.317717 , 0.657783 , 5.347785 , 0.000000
1 , 0.02 , 0.318072 , 0.849449 , 5.353769 , 0.000000
1 , 0.02 , 0.318433 , 1.043683 , 5.359832 , 0.000000
1 , 0.02 , 0.318799 , 1.241021 , 5.365993 , 0.000000
1 , 0.02 , 0.319172 , 1.442033 , 5.372267 , 0.000000
1 , 0.02 , 0.109206 , -0.466020 , 1.735780 , 0.000000
1 , 0.02 , 0.129100 , -0.474673 , 2.051979 , 0.000000
1 , 0.02 , 0.157295 , -0.486937 , 2.500131 , 0.000000
1 , 0.02 , 0.200492 , -0.505726 , 3.186726 , 0.000000
1 , 0.02 , 0.275251 , -0.538243 , 4.374985 , 0.000000
1 , 0.02 , 0.334185 , -0.465635 , 5.311722 , 0.000000
1 , 0.02 , 0.334551 , -0.279232 , 5.317540 , 0.000000
1 , 0.02 , 0.334917 , -0.093103 , 5.323349 , 0.000000
1 , 0.02 , 0.335283 , 0.093205 , 5.329165 , 0.000000
1 , 0.02 , 0.335650 , 0.280148 , 5.334999 , 0.000000
1 , 0.02 , 0.336019 , 0.468189 , 5.340868 , 0.000000
1 , 0.02 , 0.336391 , 0.657801 , 5.346786 , 0.000000
1 , 0.02 , 0.336768 , 0.849471 , 5.352768 , 0.000000
1 , 0.02 , 0.337149 , 1.043711 , 5.358831 , 0.000000
1 , 0.02 , 0.337536 , 1.241054 , 5.364990 , 0.000000
1 , 0.02 , 0.337931 , 1.442071 , 5.371264 , 0.000000
1 , 0.02 , 0.115269 , -0.466039 , 1.735457 , 0.000000
1 , 0.02 , 0.136268 , -0.474696 , 2.051612 , 0.000000
1 , 0.02 , 0.166031 , -0.486965 , 2.499710 , 0.000000
1 , 0.02 , 0.211630 , -0.505763 , 3.186241 , 0.000000
1 , 0.02 , 0.290550 , -0.538297 , 4.374436 , 0.000000
1 , 0.02 , 0.352738 , -0.465653 , 5.310729 , 0.000000
1 , 0.02 , 0.353125 , -0.279242 , 5.316545 , 0.000000
1 , 0.02 , 0.353510 , -0.093107 , 5.322354 , 0.000000
1 , 0.02 , 0.353897 , 0.093208 , 5.328168 , 0.000000
1 , 0.02 , 0.354284 , 0.280159 , 5.334002 , 0.000000
1 , 0.02 , 0.354674 , 0.468207 , 5.339869 , 0.000000
1 , 0.02 , 0.355067 , 0.657826 , 5.345787 , 0.000000
1 , 0.02 , 0.355464 , 0.849504 , 5.351768 , 0.000000
1 , 0.02 , 0.355867 , 1.043751 , 5.357830 , 0.000000
1 , 0.02 , 0.356276 , 1.241103 , 5.363988 , 0.000000
1 , 0.02 , 0.356692 , 1.442128 , 5.370261 , 0.000000
1 , 0.02 , 0.121331 , -0.466057 , 1.735111 , 0.000000
1 , 0.02 , 0.143435 , -0.474717 , 2.051217 , 0.000000
1 , 0.02 , 0.174765 , -0.486992 , 2.499254 , 0.000000
1 , 0.02 , 0.222767 , -0.505799 , 3.185707 , 0.000000
1 , 0.02 , 0.305848 , -0.538349 , 4.373821 , 0.000000
1 , 0.02 , 0.371293 , -0.465676 , 5.309734 , 0.000000
1 , 0.02 , 0.371699 , -0.279257 , 5.315550 , 0.000000
1 , 0.02 , 0.372106 , -0.093111 , 5.321358 , 0.000000
1 , 0.02 , 0.372512 , 0.093213 , 5.327171 , 0.000000
1 , 0.02 , 0.372920 , 0.280173 , 5.333004 , 0.000000
1 , 0.02 , 0.373330 , 0.468231 , 5.338871 , 0.000000
1 , 0.02 , 0.373744 , 0.657860 , 5.344788 , 0.000000
1 , 0.02 , 0.374162 , 0.849548 , 5.350768 , 0.000000
1 , 0.02 , 0.374586 , 1.043805 , 5.356829 , 0.000000
1 , 0.02 , 0.375017 , 1.241166 , 5.362987 , 0.000000
1 , 0.02 , 0.375455 , 1.442202 , 5.369259 , 0.000000
1 , 0.02 , 0.127392 , -0.466074 , 1.734742 , 0.000000
1 , 0.02 , 0.150601 , -0.474738 , 2.050794 , 0.000000
1 , 0.02 , 0.183498 , -0.487018 , 2.498762 , 0.000000
1 , 0.02 , 0.233902 , -0.505833 , 3.185128 , 0.000000
1 , 0.02 , 0.321143 , -0.538400 , 4.373136 , 0.000000
1 , 0.02 , 0.389850 , -0.465705 , 5.308739 , 0.000000
1 , 0.02 , 0.390277 , -0.279274 , 5.314555 , 0.000000
1 , 0.02 , 0.390703 , -0.093117 , 5.320362 , 0.000000
1 , 0.02 , 0.391130 , 0.093219 , 5.326174 , 0.000000
1 , 0.02 , 0.391558 , 0.280191 , 5.332006 , 0.000000
1 , 0.02 , 0.391989 , 0.468261 , 5.337873 , 0.000000
1 , 0.02 , 0.392423 , 0.657902 , 5.343789 , 0.000000
1 , 0.02 , 0.392862 , 0.849602 , 5.349769 , 0.000000
1 , 0.02 , 0.393308 , 1.043871 , 5.355828 , 0.000000
1 , 0.02 , 0.393760 , 1.241245 , 5.361985 , 0.000000
1 , 0.02 , 0.394220 , 1.442293 , 5.368257 , 0.000000
1 , 0.02 , 0.133451 , -0.466091 , 1.734347 , 0.000000
1 , 0.02 , 0.157766 , -0.474758 , 2.050343 , 0.000000
1 , 0.02 , 0.192229 , -0.487043 , 2.498235 , 0.000000
1 , 0.02 , 0.245035 , -0.505866 , 3.184501 , 0.000000
1 , 0.02 , 0.336437 , -0.538448 , 4.372382 , 0.000000
1 , 0.02 , 0.408409 , -0.465740 , 5.307745 , 0.000000
1 , 0.02 , 0.408856 , -0.279295 , 5.313559 , 0.000000
1 , 0.02 , 0.409303 , -0.093125 , 5.319366 , 0.000000
1 , 0.02 , 0.409750 , 0.093226 , 5.325177 , 0.000000
1 , 0.02 , 0.410199 , 0.280212 , 5.331009 , 0.000000
1 , 0.02 , 0.410650 , 0.468296 , 5.336875 , 0.000000
1 , 0.02 , 0.411105 , 0.657951 , 5.342790 , 0.000000
1 , 0.02 , 0.411565 , 0.849666 , 5.348769 , 0.000000
1 , 0.02 , 0.412031 , 1.043950 , 5.354828 , 0.000000
1 , 0.02 , 0.412505 , 1.241339 , 5.360984 , 0.000000
1 , 0.02 , 0.412988 , 1.442403 , 5.367255 , 0.000000
1 , 0.02 , 0.139509 , -0.466107 , 1.733932 , 0.000000
1 , 0.02 , 0.164928 , -0.474777 , 2.049863 , 0.000000
1 , 0.02 , 0.200958 , -0.487067 , 2.497673 , 0.000000
1 , 0.02 , 0.256165 , -0.505898 , 3.183827 , 0.000000
1 , 0.02 , 0.351728 , -0.538495 , 4.371561 , 0.000000
1 , 0.02 , 0.426971 , -0.465781 , 5.306749 , 0.000000
1 , 0.02 , 0.427439 , -0.279320 , 5.312563 , 0.000000
1 , 0.02 , 0.427906 , -0.093133 , 5.318369 , 0.000000
1 , 0.02 , 0.428373 , 0.093234 , 5.324180 , 0.000000
1 , 0.02 , 0.428843 , 0.280237 , 5.330011 , 0.000000
1 , 0.02 , 0.429315 , 0.468337 , 5.335876 , 0.000000
1 , 0.02 , 0.429790 , 0.658009 , 5.341791 , 0.000000
1 , 0.02 , 0.430271 , 0.849740 , 5.347769 , 0.000000
1 , 0.02 , 0.430759 , 1.044042 , 5.353828 , 0.000000
1 , 0.02 , 0.431254 , 1.241449 , 5.359984 , 0.000000
1 , 0.02 , 0.431759 , 1.442530 , 5.366254 , 0.000000
1 , 0.02 , 0.145565 , -0.466122 , 1.733491 , 0.000000
1 , 0.02 , 0.172089 , -0.474796 , 2.049354 , 0.000000
