Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.131393 , 1.248050 , 5.376249 , 0.000000
1 , 0.02 , 0.131547 , 1.450085 , 5.382567 , 0.000000
1 , 0.02 , 0.049397 , -0.466635 , 1.768433 , 0.000000
1 , 0.02 , 0.058263 , -0.475271 , 2.085859 , 0.000000
1 , 0.02 , 0.070825 , -0.487507 , 2.535569 , 0.000000
1 , 0.02 , 0.090061 , -0.506244 , 3.224241 , 0.000000
1 , 0.02 , 0.123333 , -0.538652 , 4.415378 , 0.000000
1 , 0.02 , 0.148650 , -0.462999 , 5.321741 , 0.000000
1 , 0.02 , 0.148812 , -0.277464 , 5.327542 , 0.000000
1 , 0.02 , 0.148974 , -0.092205 , 5.333335 , 0.000000
1 , 0.02 , 0.149136 , 0.094157 , 5.339163 , 0.000000
1 , 0.02 , 0.149301 , 0.282081 , 5.345039 , 0.000000
1 , 0.02 , 0.149466 , 0.471105 , 5.350950 , 0.000000
1 , 0.02 , 0.149632 , 0.661703 , 5.356910 , 0.000000
1 , 0.02 , 0.149800 , 0.854362 , 5.362934 , 0.000000
1 , 0.02 , 0.149971 , 1.049592 , 5.369039 , 0.000000
1 , 0.02 , 0.150144 , 1.247931 , 5.375241 , 0.000000
1 , 0.02 , 0.150321 , 1.449947 , 5.381557 , 0.000000
1 , 0.02 , 0.055573 , -0.466661 , 1.768345 , 0.000000
1 , 0.02 , 0.065548 , -0.475302 , 2.085776 , 0.000000
1 , 0.02 , 0.079681 , -0.487545 , 2.535502 , 0.000000
1 , 0.02 , 0.101325 , -0.506294 , 3.224226 , 0.000000
1 , 0.02 , 0.138763 , -0.538725 , 4.415518 , 0.000000
1 , 0.02 , 0.167211 , -0.462960 , 5.320748 , 0.000000
1 , 0.02 , 0.167394 , -0.277440 , 5.326548 , 0.000000
1 , 0.02 , 0.167576 , -0.092197 , 5.332339 , 0.000000
1 , 0.02 , 0.167759 , 0.094149 , 5.338165 , 0.000000
1 , 0.02 , 0.167943 , 0.282058 , 5.344040 , 0.000000
1 , 0.02 , 0.168129 , 0.471066 , 5.349949 , 0.000000
1 , 0.02 , 0.168316 , 0.661647 , 5.355907 , 0.000000
1 , 0.02 , 0.168505 , 0.854291 , 5.361930 , 0.000000
1 , 0.02 , 0.168697 , 1.049505 , 5.368033 , 0.000000
1 , 0.02 , 0.168892 , 1.247827 , 5.374233 , 0.000000
1 , 0.02 , 0.169090 , 1.449826 , 5.380548 , 0.000000
1 , 0.02 , 0.061748 , -0.466685 , 1.768232 , 0.000000
1 , 0.02 , 0.072833 , -0.475332 , 2.085663 , 0.000000
1 , 0.02 , 0.088538 , -0.487582 , 2.535399 , 0.000000
1 , 0.02 , 0.112590 , -0.506343 , 3.224161 , 0.000000
1 , 0.02 , 0.154195 , -0.538797 , 4.415587 , 0.000000
1 , 0.02 , 0.185770 , -0.462927 , 5.319755 , 0.000000
1 , 0.02 , 0.185972 , -0.277421 , 5.325554 , 0.000000
1 , 0.02 , 0.186175 , -0.092191 , 5.331344 , 0.000000
1 , 0.02 , 0.186378 , 0.094142 , 5.337168 , 0.000000
1 , 0.02 , 0.186583 , 0.282038 , 5.343041 , 0.000000
1 , 0.02 , 0.186789 , 0.471033 , 5.348949 , 0.000000
1 , 0.02 , 0.186997 , 0.661601 , 5.354906 , 0.000000
1 , 0.02 , 0.187208 , 0.854230 , 5.360927 , 0.000000
1 , 0.02 , 0.187421 , 1.049431 , 5.367028 , 0.000000
1 , 0.02 , 0.187637 , 1.247738 , 5.373227 , 0.000000
1 , 0.02 , 0.187858 , 1.449722 , 5.379540 , 0.000000
1 , 0.02 , 0.067923 , -0.466710 , 1.768096 , 0.000000
1 , 0.02 , 0.080118 , -0.475361 , 2.085522 , 0.000000
